Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Total_Lines_Num,Category,Repaired,Attempt,Repair_Line,Repair_Fix,Repair_Original,Repair_Same
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_InsertionSort_9,"['17', ' 21', ' 22', ' 23', ' 26', ' 27', ' 29']","[15, 17, 21, 22, 23, 26, 27, 29]",void,29.0,True,87.5,8,Others,True,0,29,up := up + 1; //buggy line,up := up+1;,True
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Merge_Sort_3,"['11', ' 12', ' 13', ' 14', ' 15', ' 17', ' 22', ' 23', ' 26', ' 31', ' 32', ' 34', ' 36', ' 40', ' 42', ' 43', ' 44', ' 57', ' 45', ' 46', ' 47', ' 49', ' 50', ' 51', ' 53', ' 54']","[11, 12, 13, 14, 15, 17, 22, 23, 26, 31, 32, 34, 36, 40, 41, 42, 42, 43, 44, 45, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57]",void,23.0,True,83.87096774193549,31,Others,True,0,23,y := y + 1;,y := y +1;,True
Clover_slope_search_1,['8'],"[8, 9, 14, 15, 17, 18]",int_int,8.0,True,16.666666666666664,6,Others,True,0,8,"m, n := 0, a.Length1 - 1;","m,n:=0, a.Length1-1;",True
dafny-exercises_tmp_tmp5mvrowrx_leetcode_26-remove-duplicates-from-sorted-array_7,"['11', ' 12', ' 14', ' 15', ' 16', ' 17', ' 29', ' 30', ' 31', ' 37', ' 39']","[11, 12, 14, 15, 16, 17, 29, 30, 31, 37, 39]",int,37.0,True,100.0,11,100%,True,0,37,i := i + 1;,i := i + 1;,True
MFDS_tmp_tmpvvr5y1t9_Assignments_Ass-1-2020-21-Sol-eGela_12,"['51', ' 52', ' 61']","[51, 52, 55, 55, 56, 60, 61]",void,61.0,True,42.85714285714285,7,Others,True,2,61,ghost var k := (x - 2) / 3;,var k := (x-2)/3;,True
dafny-synthesis_task_id_445_5,"['6', ' 7', ' 8', ' 13', ' 14']","[6, 7, 8, 13, 14]",seq(int),14.0,True,100.0,5,100%,True,0,14,i := i + 1;,i := i + 1;,True
dafny-synthesis_task_id_610_3,"['9', ' 13', ' 14', ' 17', ' 22', ' 23']","[7, 8, 9, 13, 14, 17, 22, 23]",array(int),14.0,True,75.0,8,Others,True,0,14,i := i + 1; //buggy line,i := i + 1;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_lightening_verifier_29,"['452', ' 454', ' 455', ' 457', ' 458', ' 474', ' 475', ' 476', ' 477', ' 482', ' 483', ' 489', ' 490']","[452, 454, 455, 457, 458, 474, 475, 476, 477, 482, 483, 486, 489, 490]",void,483.0,True,92.85714285714286,14,Others,False,,,,i := i - 1;,False
Dafny_Verify_tmp_tmphq7j0row_AI_agent_validation_examples_25,"['113', ' 119', ' 120']","[109, 110, 111, 112, 113, 119, 120]",nat,120.0,True,42.85714285714285,7,Others,True,0,120,i := i + 1;,i := i + 1;,True
Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings3_21,"['99', ' 100', ' 102', ' 103', ' 108', ' 109', ' 110', ' 112', ' 114', ' 116']","[99, 100, 102, 103, 108, 109, 110, 112, 114, 116]",bool,114.0,True,100.0,10,100%,True,0,114,i := i - 1;,i := i-1;,True
HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Two Sum_two_sum_0,"['10', ' 15', ' 16', ' 28']","[9, 10, 15, 16, 22, 24, 26, 28]",int_int,15.0,True,50.0,8,Others,True,0,15,var j := i + 1; //buggy line,var j := i + 1;,True
dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_COST-verif-comp-2011-1-MaxArray_8,"['78', ' 81']","[66, 67, 68, 69, 75, 76, 76, 77, 78, 78, 81]",int,78.0,True,18.181818181818183,11,Others,True,0,78,y := y - 1;  m := x; //buggy line,y := y - 1;  m := x;,True
dafny-language-server_tmp_tmpkir0kenl_Test_allocated1_dafny0_fun-with-slices_0,"['11', ' 13', ' 17', ' 38']","[11, 13, 18, 38]",void,38.0,True,100.0,4,100%,True,0,38,i := i + 1;,i := i + 1;,True
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_DoubleArray_0,"['6', ' 7', ' 12']","[6, 7, 12, 12]",void,12.0,True,75.0,4,Others,True,0,12,dst[n] := 2 * src[n]; n := n + 1;,dst[n] := 2 * src[n]; n := n + 1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseSeparate_12,"['21', ' 22', ' 23', ' 30', ' 31', ' 33', ' 35', ' 36', ' 38', ' 40', ' 41']","[21, 22, 23, 30, 31, 33, 33, 35, 36, 38, 40, 40, 41]",int,38.0,True,84.61538461538461,13,Others,True,0,38,i := i + 1; //buggy line,i:=i+1;,True
dafny-synthesis_task_id_599_3,"['7', ' 11']","[6, 7, 11, 13]",int_real,11.0,True,50.0,4,Others,True,0,11,sum := sum + i;,sum := sum + i;,True
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_05_Hoangkim_ex_05_Hoangkim_13,"['40', ' 44', ' 45']","[38, 39, 40, 44, 45]",nat,45.0,True,60.0,5,Others,True,0,45,i := i + 1;,i := i + 1;,True
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_41_7,"['8', ' 12', ' 13']","[6, 7, 8, 12, 13]",int_int,13.0,True,60.0,5,Others,True,0,13,j := j + i;,j := j + i;,True
dafny-exercise_tmp_tmpouftptir_maxArray_0,"['6', ' 7', ' 8', ' 13', ' 14', ' 16']","[6, 7, 8, 13, 14, 16]",int,16.0,True,100.0,6,100%,True,1,16,i := i + 1;,i := i + 1;,True
veri-sparse_tmp_tmp15fywna6_dafny_spmv_16,"['58', ' 59', ' 60', ' 61', ' 62', ' 63', ' 64', ' 65', ' 66', ' 67', ' 68', ' 69', ' 71', ' 73', ' 74', ' 75', ' 76', ' 77', ' 78', ' 79', ' 80', ' 82', ' 89', ' 90']","[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 73, 74, 75, 76, 77, 78, 79, 80, 82, 89, 90, 90]",void,90.0,True,96.0,25,Others,False,,,,"while i < 8 { print y[i]; print ""; ""; i := i + 1; }",False
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Insertion_Sorted_Standard_8,"['15', ' 19', ' 20', ' 23', ' 24', ' 26']","[14, 15, 19, 20, 23, 24, 26]",void,26.0,True,85.71428571428571,7,Others,False,,,,high := high+1;,False
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_04_Hoangkim_ex_04_Hoangkim_7,"['9', ' 13', ' 14']","[6, 7, 9, 13, 14]",nat,14.0,True,60.0,5,Others,True,0,14,sum := sum + (i * 2 + 1); //buggy line,sum := sum + 2 * i + 1;,False
specTesting_tmp_tmpueam35lx_examples_binary_search_binary_search_specs_17,"['43', ' 44', ' 45', ' 51', ' 52', ' 53', ' 54', ' 55', ' 58', ' 59', ' 60', ' 61', ' 62', ' 64', ' 65', ' 67', ' 72']","[43, 44, 45, 51, 52, 53, 54, 54, 55, 56, 58, 59, 60, 61, 61, 62, 63, 64, 65, 66, 67, 72]",int,58.0,True,77.27272727272727,22,Others,False,,,,var inner_mid := (lo + mid) / 2;,False
dafny-exercise_tmp_tmpouftptir_prac3_ex2_4,"['6', ' 7', ' 14', ' 15', ' 17']","[6, 7, 14, 15, 17]",void,17.0,True,100.0,5,100%,True,1,17,i := i + 1;,i := i + 1;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_Classics_20,"['53', ' 54', ' 59', ' 60', ' 73', ' 74', ' 80', ' 82', ' 88', ' 91', ' 92', ' 94', ' 98', ' 99', ' 100', ' 101']","[53, 54, 59, 60, 73, 74, 80, 82, 88, 91, 92, 92, 92, 94, 98, 99, 100, 100, 101, 102, 103]",void,88.0,True,76.19047619047619,21,Others,False,,,,{ j := j - 1; },False
cs245-verification_tmp_tmp0h_nxhqp_quicksort-partition_7,"['13', ' 14', ' 18', ' 21', ' 23', ' 30', ' 33', ' 34', ' 36']","[13, 14, 18, 21, 23, 30, 31, 32, 33, 34, 36]",int_int,21.0,True,81.81818181818183,11,Others,False,,,,b := a+1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_validAnagram_0,"['5', ' 6', ' 11', ' 15']","[5, 6, 11, 15]",multiset(char),11.0,True,100.0,4,100%,True,0,11,mset := mset + multiset{s[i]}; //buggy line,mset := mset + multiset{s[i]};,True
Dafny_tmp_tmp0wu8wmfr_tests_Search1000_3,['33'],"[14, 15, 15, 19, 19, 23, 23, 24, 24, 25, 25, 26, 26, 27, 27, 28, 28, 29, 29, 33, 33]",int,19.0,False,4.761904761904762,21,Others,False,,,,if a[k+255] < x { k := k+256; },False
FlexWeek_tmp_tmpc_tfdj_3_ex2_1,"['16', ' 21', ' 22', ' 26', ' 24']","[13, 14, 16, 21, 22, 23, 24, 26]",array(int),26.0,True,62.5,8,Others,True,0,26,i := i + 1;,i := i + 1;,True
dafny-synthesis_task_id_644_0,"['5', ' 6', ' 7', ' 12', ' 13']","[5, 6, 7, 12, 13]",void,5.0,True,100.0,5,100%,False,,,,var l := a.Length - 1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_examples_simpleMultiplication_5,"['8', ' 13', ' 14', ' 16']","[6, 7, 8, 13, 14, 16]",int,14.0,True,66.66666666666666,6,Others,True,0,14,a := a + 1;,a := a + 1;,True
MFDS_tmp_tmpvvr5y1t9_Assignments_Ass-1-2020-21-Sol-eGela_7,"['51', ' 52']","[51, 52, 55, 55, 56, 60, 61]",void,52.0,True,28.57142857142857,7,Others,True,0,52,ghost var k := x / 3;,var k := x/3;,True
SENG2011_tmp_tmpgk5jq85q_ass2_ex3_1,"['21', ' 22', ' 23', ' 24', ' 25', ' 43', ' 44', ' 46', ' 47', ' 48', ' 49', ' 50', ' 51', ' 52', ' 53', ' 55']","[21, 22, 23, 24, 25, 43, 44, 45, 46, 47, 48, 49, 49, 50, 51, 51, 52, 53, 54, 55]",string,47.0,True,80.0,20,Others,True,0,47,next := next + 1;,next := next + 1;,True
SENG2011_tmp_tmpgk5jq85q_exam_ex3_1,"['6', ' 7', ' 10', ' 11', ' 15', ' 16', ' 18', ' 20']","[6, 7, 10, 11, 15, 16, 18, 20]",bool,18.0,True,100.0,8,100%,True,0,18,i := i + 1;,i := i + 1;,True
VerifiedMergeSortDafny_tmp_tmpva7qms1b_MergeSort_17,"['9', ' 10', ' 11', ' 13', ' 22', ' 23', ' 24', ' 37', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 34', ' 35']","[9, 10, 11, 13, 22, 23, 24, 25, 25, 26, 27, 28, 28, 30, 31, 32, 34, 35, 37]",void,37.0,True,84.21052631578947,19,Others,True,0,37,k := k + 1;,k := k + 1;,True
vfag_tmp_tmpc29dxm1j_mergesort_28,"['57', ' 58', ' 60', ' 69', ' 70', ' 78', ' 79', ' 81', ' 90', ' 91', ' 98', ' 99', ' 100', ' 102', ' 113', ' 119', ' 121', ' 122', ' 151', ' 126', ' 128', ' 129', ' 135', ' 137', ' 138', ' 142', ' 144', ' 145']","[54, 55, 57, 58, 60, 69, 70, 75, 76, 78, 79, 81, 90, 91, 96, 98, 99, 100, 104, 113, 115, 119, 119, 121, 122, 126, 126, 128, 129, 133, 135, 137, 138, 142, 142, 144, 145, 151]",void,151.0,True,73.68421052631578,38,Others,True,0,151,i := i + 1; //buggy line,i := i + 1 ;,True
dafl_tmp_tmp_r3_8w3y_dafny_examples_uiowa_fibonacci_3,"['25', ' 28', ' 29', ' 30', ' 31', ' 32', ' 40', ' 42', ' 26']","[25, 26, 27, 28, 29, 30, 31, 32, 38, 39, 40, 42]",nat,40.0,True,75.0,12,Others,True,0,40,f := f_1 + f_2; //buggy line,f   := f_1 + f_2;,True
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Merge_Sort_1,"['11', ' 12', ' 13', ' 14', ' 15', ' 17', ' 22', ' 23', ' 26', ' 31', ' 32', ' 34', ' 36', ' 40', ' 42', ' 43', ' 44', ' 57', ' 45', ' 46', ' 47', ' 49', ' 50', ' 51', ' 53', ' 54']","[11, 12, 13, 14, 15, 17, 22, 23, 26, 31, 32, 34, 36, 40, 41, 42, 42, 43, 44, 45, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57]",void,23.0,True,83.87096774193549,31,Others,True,0,23,y := y + 1;,y := y +1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBubbleSort_16,"['63', ' 64', ' 66', ' 75', ' 77', ' 81', ' 91', ' 92', ' 94', ' 96', ' 99']","[63, 64, 66, 75, 77, 81, 91, 92, 94, 96, 99]",void,96.0,True,100.0,11,100%,True,0,96,j := j - 1; //buggy line,j:=j-1;,True
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_LoopInvariant_8,"['34', ' 38']","[33, 34, 38]",int,38.0,True,66.66666666666666,3,Others,True,0,38,i := i - 1;,i := i - 1;,True
Dafny-Projects_tmp_tmph399drhy_p2_arraySplit_0,"['16', ' 20', ' 21', ' 32', ' 33', ' 39', ' 40', ' 41']","[9, 11, 12, 14, 16, 20, 21, 32, 33, 39, 40, 41]",array(int)_array(int),9.0,False,66.66666666666666,12,Others,False,,,,var splitPoint : int := a.Length / 2;,False
BPTree-verif_tmp_tmpq1z6xm1d_Utils_16,"['377', ' 379', ' 380', ' 382', ' 384', ' 385', ' 398', ' 400', ' 401', ' 402', ' 408', ' 404', ' 406', ' 420', ' 421', ' 422', ' 428', ' 429']","[377, 379, 380, 382, 384, 385, 398, 400, 401, 402, 404, 404, 406, 408, 414, 417, 420, 421, 422, 428, 429]",array(int),429.0,True,85.71428571428571,21,Others,True,0,429,i := i + 1;,i := i + 1;,True
Dafny-Practice_tmp_tmphnmt4ovh_Pattern Matching_31,"['156', ' 161']","[156, 161, 164, 173, 175, 176]",void,156.0,True,33.33333333333333,6,Others,False,,,,ghost var temp_val := old_text_hash + text[i - 1 + |pattern|] as int;,False
Dafny-Practice_tmp_tmphnmt4ovh_Pattern Matching_21,"['7', ' 9', ' 13', ' 6', ' 17', ' 19', ' 24', ' 25', ' 30', ' 33', ' 34', ' 37', ' 38', ' 40', ' 49', ' 62', ' 63', ' 64', ' 69', ' 74', ' 75', ' 78']","[6, 7, 9, 13, 17, 19, 24, 25, 27, 30, 33, 34, 37, 38, 40, 45, 46, 49, 60, 62, 63, 64, 69, 74, 75, 78, 86, 89, 94, 96, 103]",set(nat),69.0,True,70.96774193548387,31,Others,True,0,69,i := i + 1; //buggy line,i := i + 1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseAllEqual_19,"['126', ' 127', ' 128', ' 134', ' 135']","[126, 127, 128, 134, 134, 135, 135]",bool,135.0,True,71.42857142857143,7,Others,False,,,,else { i := i+1;},False
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseContained_1,"['21', ' 31', ' 32', ' 34', ' 38']","[19, 20, 21, 31, 32, 34, 38]",bool,32.0,True,71.42857142857143,7,Others,True,1,32,i := i + 1;,i:=i+1;,True
MIEIC_mfes_tmp_tmpq3ho7nve_exams_mt2_19_p5_11,"['15', ' 16', ' 18', ' 21', ' 28', ' 29', ' 30', ' 32', ' 36', ' 37']","[15, 16, 18, 21, 28, 29, 30, 32, 36, 37]",int,32.0,True,100.0,10,100%,True,0,32,j := j + 1;,j := j+1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBubbleSort_1,"['15', ' 16', ' 24', ' 27', ' 39', ' 40', ' 43', ' 47']","[15, 16, 24, 27, 39, 40, 43, 47]",void,24.0,True,100.0,8,100%,False,,,,var j:=f-1;,False
dafny-workout_tmp_tmp0abkw6f8_starter_ex09_4,"['11', ' 12', ' 13', ' 14', ' 16', ' 22', ' 23']","[11, 12, 12, 13, 14, 16, 22, 23]",nat,23.0,True,87.5,8,Others,True,0,23,i := i + 1;,i := i + 1;,True
Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings3_20,"['99', ' 100', ' 102', ' 103', ' 108', ' 109', ' 110', ' 112', ' 114', ' 116']","[99, 100, 102, 103, 108, 109, 110, 112, 114, 116]",bool,114.0,True,100.0,10,100%,True,0,114,i := i - 1;,i := i-1;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_KatzManna_22,"['37', ' 41', ' 44']","[35, 36, 37, 41, 44, 46, 49]",void,44.0,True,42.85714285714285,7,Others,True,0,44,y1 := y1 - y2;,y1 := y1 - y2;,True
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_DoubleArray_3,"['6', ' 7', ' 12']","[6, 7, 12, 12]",void,12.0,True,75.0,4,Others,False,,,,dst[n] := 2 * src[n]; n := n + 1;,False
Software-Verification_tmp_tmpv4ueky2d_Valid Anagram_valid_anagram_11,"['12', ' 13', ' 14', ' 20', ' 21', ' 24', ' 27', ' 28', ' 29', ' 33', ' 34', ' 35', ' 41', ' 42', ' 45', ' 48', ' 49', ' 50', ' 53']","[12, 13, 14, 20, 21, 24, 27, 28, 29, 33, 34, 35, 41, 42, 45, 48, 49, 50, 53]",bool,49.0,True,100.0,19,100%,True,0,49,t_removed := t_removed + temp[remaining := t[remaining]];,t_removed := t_removed + temp[remaining := t[remaining]];,True
Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings3_19,"['99', ' 100', ' 102', ' 103', ' 108', ' 109', ' 110', ' 112', ' 114', ' 116']","[99, 100, 102, 103, 108, 109, 110, 112, 114, 116]",bool,108.0,True,100.0,10,100%,True,2,108,var t := i + k; //buggy line,var t := i+k;,True
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBinarySearch_25,"['56', ' 57', ' 60', ' 62', ' 63', ' 65']","[56, 57, 59, 60, 62, 63, 65, 65]",int,60.0,True,75.0,8,Others,True,0,60,var m := (c + f) / 2;,var m:=(c+f)/2;,True
dafleet_tmp_tmpa2e4kb9v_0001-0050_0005-longest-palindromic-substring_64,"['286', ' 287', ' 290', ' 301', ' 304', ' 295', ' 309', ' 310', ' 311']","[286, 287, 290, 295, 299, 300, 301, 304, 309, 310, 311, 315]",void,310.0,True,75.0,12,Others,False,,,,var r2' := (c + r - c2) + 1;,False
verified-using-dafny_tmp_tmp7jatpjyn_longestZero_7,"['16', ' 17', ' 18', ' 22', ' 20', ' 23', ' 30', ' 31', ' 35', ' 33']","[16, 17, 18, 20, 20, 22, 23, 30, 31, 33, 33, 35, 39, 40, 41, 43, 55, 57, 58, 60]",int_int,35.0,True,50.0,20,Others,False,,,,idx := idx + 1;,False
Dafny_tmp_tmpmvs2dmry_pancakesort_findmax_3,"['13', ' 25']","[9, 10, 11, 12, 13, 19, 21, 23, 25]",int,23.0,False,22.22222222222222,9,Others,False,,,,i := i + 1;,False
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBinarySearch_1,"['10', ' 11', ' 17', ' 18', ' 19', ' 20']","[10, 11, 17, 18, 19, 20, 20, 22]",int,10.0,True,75.0,8,Others,False,,,,"var c,f:=0,v.Length-1;",False
groupTheory_tmp_tmppmmxvu8h_assignment1_15,['106'],[106],void,106.0,True,100.0,1,100%,True,0,106,"ghost var L, R := A + B + C, A + (B + C); //buggy line","var L,R := (A + B) + C, A + (B + C);",False
Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings1_12,"['66', ' 67', ' 69', ' 70', ' 75', ' 76', ' 78', ' 80', ' 82']","[66, 67, 69, 70, 75, 76, 78, 80, 82]",bool,69.0,True,100.0,9,100%,True,0,69,var i := |str1| - k; //buggy line,var i := |str1| - k;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_BDD_1,"['54', ' 55', ' 57', ' 63', ' 64', ' 67']","[54, 55, 57, 63, 64, 67]",bool,64.0,True,100.0,6,100%,True,0,64,i := i - 1; //buggy line,i := i - 1;,True
assertive-programming-assignment-1_tmp_tmp3h_cj44u_ProdAndCount_7,"['70', ' 72']","[50, 51, 52, 53, 55, 56, 62, 63, 64, 65, 66, 69, 70, 72, 74, 75]",int_nat,70.0,True,12.5,16,Others,False,,,,count := count+1;,False
AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring_4,"['23', ' 27', ' 32', ' 38', ' 46', ' 48', ' 49', ' 51', ' 56', ' 58', ' 66', ' 81', ' 97', ' 24', ' 28']","[23, 24, 27, 27, 28, 31, 32, 38, 46, 48, 49, 51, 56, 58, 62, 66, 81, 92, 97]",bool_nat,46.0,True,78.94736842105263,19,Others,True,0,46,var j := |str2| - 1; //buggy line,var j := |str2|-1;,True
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8_27,"['62', ' 64', ' 67', ' 69', ' 70', ' 71', ' 74', ' 76', ' 77', ' 78', ' 79', ' 60', ' 84']","[60, 62, 64, 67, 69, 70, 71, 74, 74, 76, 77, 78, 79, 83, 84]",multiset(int)_int_multiset(int),77.0,True,86.66666666666667,15,Others,False,,,,pre := pre - multiset{p} - post';,False
dafny-exercises_tmp_tmp5mvrowrx_leetcode_26-remove-duplicates-from-sorted-array_4,"['11', ' 12', ' 14', ' 15', ' 16', ' 17', ' 29', ' 30', ' 31', ' 37', ' 39']","[11, 12, 14, 15, 16, 17, 29, 30, 31, 37, 39]",int,37.0,True,100.0,11,100%,True,0,37,i := i + 1; //buggy line,i := i + 1;,True
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_Compilation_0,"['34', ' 39', ' 40']","[21, 22, 25, 30, 31, 34, 39, 40, 41, 45, 46]",void,46.0,False,27.27272727272727,11,Others,True,0,40,y := 0;,y := y - 1;,False
CVS-handout1_tmp_tmptm52no3k_2_0,"['36', ' 37', ' 38', ' 44', ' 45']","[36, 37, 38, 44, 45]",List(T),37.0,True,100.0,5,100%,False,,,,var i: int := a.Length - 1;,False
dafleet_tmp_tmpa2e4kb9v_0001-0050_0003-longest-substring-without-repeating-characters_28,"['103', ' 104', ' 105', ' 108', ' 122', ' 123', ' 125', ' 126', ' 127', ' 128', ' 129']","[103, 104, 105, 108, 122, 123, 125, 126, 127, 128, 129]",int_interval,128.0,True,100.0,11,100%,True,0,128,n := hi - lo;,n := hi - lo;,True
Clover_rotate_3,"['8', ' 12', ' 13']","[6, 7, 8, 12, 13]",array(int),13.0,True,60.0,5,Others,True,0,13,i := i + 1;,i:=i+1;,True
cs245-verification_tmp_tmp0h_nxhqp_power_4,"['16', ' 18', ' 20', ' 26', ' 28']","[16, 18, 20, 26, 28]",int,28.0,True,100.0,5,100%,True,0,28,i := i + 1;,i := i+1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExerciseCountMin_3,"['33', ' 34', ' 35', ' 36', ' 42', ' 43', ' 49', ' 45', ' 46', ' 47']","[33, 34, 35, 36, 42, 43, 45, 45, 46, 47, 49]",int,43.0,True,90.9090909090909,11,Others,True,0,43,c := c + 1;,c:=c + 1;,True
dafny-language-server_tmp_tmpkir0kenl_Test_VSComp2010_Problem1-SumMax_7,"['20', ' 23', ' 24', ' 26', ' 27']","[17, 18, 19, 20, 23, 24, 26, 27]",int_int,27.0,True,62.5,8,Others,True,0,27,i := i + 1; //buggy line,i := i + 1;,True
CVS-Projto1_tmp_tmpb1o0bu8z_proj1_proj1_12,"['64', ' 65', ' 67', ' 71', ' 72', ' 75']","[64, 65, 67, 71, 72, 75]",List(T),64.0,True,100.0,6,100%,True,0,64,var i := a.Length - 1;,var i:= a.Length-1;,True
verified-using-dafny_tmp_tmp7jatpjyn_longestZero_8,"['16', ' 17', ' 18', ' 22', ' 20', ' 23', ' 30', ' 31', ' 35', ' 33']","[16, 17, 18, 20, 20, 22, 23, 30, 31, 33, 33, 35, 39, 40, 41, 43, 55, 57, 58, 60]",int_int,58.0,False,50.0,20,Others,False,,,,pos := idx - b[idx] + 1;,False
Metodos_Formais_tmp_tmpbez22nnn_Aula_2_ex1_4,"['8', ' 12', ' 13']","[4, 5, 6, 8, 12, 13, 16]",nat,13.0,True,42.85714285714285,7,Others,True,0,13,m := m - 1;,m := m - 1;,True
dafny-duck_tmp_tmplawbgxjo_ex3_5,"['15', ' 16', ' 17', ' 18', ' 20', ' 31', ' 32', ' 35', ' 36', ' 37', ' 38', ' 42', ' 43']","[15, 16, 17, 18, 20, 31, 32, 35, 35, 36, 37, 38, 41, 42, 43]",string,37.0,True,86.66666666666667,15,Others,True,0,37,next := next + 1; //buggy line,next := next + 1;,True
DafnyPrograms_tmp_tmp74_f9k_c_automaton_21,"['33', ' 35', ' 36', ' 38', ' 58', ' 61', ' 63', ' 76', ' 77', ' 79', ' 81', ' 82', ' 83', ' 86']","[33, 35, 36, 38, 58, 60, 61, 63, 76, 77, 79, 81, 82, 83, 86]",seq(seq(bool)),83.0,True,93.33333333333331,15,Others,True,0,83,index := index + 1;,index := index + 1;,True
MIEIC_mfes_tmp_tmpq3ho7nve_exams_mt2_19_p5_9,"['15', ' 16', ' 18', ' 21', ' 28', ' 29', ' 30', ' 32', ' 36', ' 37']","[15, 16, 18, 21, 28, 29, 30, 32, 36, 37]",int,32.0,True,100.0,10,100%,True,0,32,j := j + 1; //buggy line,j := j+1;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_SumOfCubes_17,"['66', ' 71']","[65, 66, 70, 71, 73]",void,71.0,True,40.0,5,Others,True,0,71,i := i + 1;,i := i + 1;,True
Metodos_Formais_tmp_tmpbez22nnn_Aula_2_ex1_0,"['8', ' 12', ' 13']","[4, 5, 6, 8, 12, 13, 16]",nat,12.0,True,42.85714285714285,7,Others,True,0,12,r := r + n; //buggy line,r := r + n;,True
FlexWeek_tmp_tmpc_tfdj_3_ex3_1,"['6', ' 7', ' 10', ' 11']","[6, 7, 10, 11, 14, 20, 21, 23]",int,23.0,False,50.0,8,Others,False,,,,i := i+1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_demo_9,"['18', ' 20', ' 23', ' 24', ' 30', ' 31', ' 32', ' 12', ' 36']","[8, 9, 10, 12, 18, 19, 20, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 36]",int_int,31.0,True,45.0,20,Others,True,0,31,j := j - 1; //buggy line,j := j - 1;,True
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_pow_3,"['11', ' 17', ' 21']","[9, 10, 11, 17, 21, 26]",nat,17.0,True,50.0,6,Others,True,0,17,x := x * a; //buggy line,x := a*x;,False
Software-Verification_tmp_tmpv4ueky2d_Valid Anagram_valid_anagram_12,"['12', ' 13', ' 14', ' 20', ' 21', ' 24', ' 27', ' 28', ' 29', ' 33', ' 34', ' 35', ' 41', ' 42', ' 45', ' 48', ' 49', ' 50', ' 53']","[12, 13, 14, 20, 21, 24, 27, 28, 29, 33, 34, 35, 41, 42, 45, 48, 49, 50, 53]",bool,50.0,True,100.0,19,100%,True,0,50,t_remaining := t_remaining - temp[remaining := t[remaining]]; //buggy line,t_remaining := t_remaining - temp[remaining := t[remaining]];,True
Dafny_tmp_tmpv_d3qi10_3_cumsum_3,"['18', ' 22', ' 23']","[15, 16, 18, 22, 23]",void,22.0,True,60.0,5,Others,False,,,,b[i] := b[i - 1] + a[i]; // Calcule la somme cumulée pour chaque élément,False
